School,Topic,Test,Grades,,,,
Control,,PRETEST,40,,,,
Control,,PRETEST,16,,,,
Control,,PRETEST,24,,,,
Control,,PRETEST,32,,,,
Control,,PRETEST,40,,,,
Control,,PRETEST,35,,,,
Control,,PRETEST,19,,,,
Control,,PRETEST,24,,,,
Control,,PRETEST,29,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,40,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,43,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,35,,,,
Control,,PRETEST,29,,,,
Control,,PRETEST,32,,,,
Control,,PRETEST,16,,,,
Control,,PRETEST,21,,,,
Control,,PRETEST,48,,,,
Control,,PRETEST,24,,,,
Control,,PRETEST,41,,,,
Control,,PRETEST,21,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,16,,,,
Control,,PRETEST,29,,,,
Control,,PRETEST,43,,,,
Control,,PRETEST,43,,,,
Control,,PRETEST,28,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,26,,,,
Control,,PRETEST,19,,,,
Control,,PRETEST,37,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,24,,,,
Control,,PRETEST,43,,,,
Control,,PRETEST,37,,,,
Control,,PRETEST,27,,,,
Control,,PRETEST,21,,,,
Control,,PRETEST,27,,,,
Experimental,,PRETEST,29,,,,
Experimental,,PRETEST,32,,,,
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,24,,,,
Experimental,,PRETEST,37,,,,
Experimental,,PRETEST,21,,,,
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,27,,,,
Experimental,,PRETEST,37,,,,
Experimental,,PRETEST,32,,,,
Experimental,,PRETEST,24,,,,
Experimental,,PRETEST,27,,,,
Experimental,,PRETEST,13,,,,
Experimental,,PRETEST,43,,,,
Experimental,,PRETEST,28,,,,
Experimental,,PRETEST,29,,,,
Experimental,,PRETEST,43,,,,
Experimental,,PRETEST,43,,,,
Experimental,,PRETEST,29,,,,
Experimental,,PRETEST,13,,,,
Experimental,,PRETEST,21,,,,
Experimental,,PRETEST,37,,,,
Experimental,,PRETEST,27,,,,
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,45,,,,
Experimental,,PRETEST,37,,,,
Experimental,,PRETEST,24,,,,
Experimental,,PRETEST,45,,,,
Experimental,,PRETEST,5,,,,
Experimental,,PRETEST,24,,,,
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,21,,,,
Experimental,,PRETEST,40,,,,
Experimental,,PRETEST,40,,,,
Experimental,,PRETEST,37,,,,
Experimental,,PRETEST,16,,,,
Experimental,,PRETEST,43,,,,
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,37,,,,
Experimental,,PRETEST,19,,,,30.52272727
Experimental,,PRETEST,30,,,,#REF!
Experimental,,PRETEST,35,,,,
Experimental,,PRETEST,19,,,,
Control,,POSTTEST,56,,,,
Control,,POSTTEST,37,,,,
Control,,POSTTEST,35,,,,
Control,,POSTTEST,49,,,,
Control,,POSTTEST,56,,,,
Control,,POSTTEST,40,,,,
Control,,POSTTEST,32,,,,
Control,,POSTTEST,40,,,,
Control,,POSTTEST,43,,,,
Control,,POSTTEST,54,,,,
Control,,POSTTEST,58,,,,
Control,,POSTTEST,30,,,,
Control,,POSTTEST,58,,,,
Control,,POSTTEST,48,,,,
Control,,POSTTEST,52,,,,
Control,,POSTTEST,33,,,,
Control,,POSTTEST,39,,,,
Control,,POSTTEST,48,,,,
Control,,POSTTEST,46,,,,
Control,,POSTTEST,55,,,,
Control,,POSTTEST,33,,,,
Control,,POSTTEST,52,,,,
Control,,POSTTEST,51,,,,
Control,,POSTTEST,51,,,,
Control,,POSTTEST,42,,,,
Control,,POSTTEST,61,,,,
Control,,POSTTEST,58,,,,
Control,,POSTTEST,50,,,,
Control,,POSTTEST,39,,,,
Control,,POSTTEST,54,,,,
Control,,POSTTEST,44,,,,
