Timestamp,id,Age in years,Sex,1. Biology is very interesting to me.,"2. I don't like biology, and it scares me to have to take it.",3. I am always under a terrible strain in a biology class.,4. Biology is fascinating and fun,"5. Biology makes me feel secure, and at the same time, it is stimulating.","6. Biology makes me feel uncomfortable, restless, irritable, and impatient.","7. In general, I have a good feeling toward biology.","8. When I hear the word biology, I have a feeling of dislike.",9. I approach biology with a feeling of hesitation.,10. I really like biology.,11. I have always enjoyed studying biology in school.,12. It makes me nervous to even think about doing a biology experiment.,13. I feel at ease in biology and like it very much.,14. I feel a definite positive reaction to biology; it's enjoyable.,Biology is,Biology is,Biology is,Biology is ,Biology is,Biology is ,Biology is ,Biology is
2021/11/14 10:13:18 AM GMT+2,1,19,Female,5,1,1,5,5,1,5,1,5,5,5,5,5,5,1,1,5,4,1,5,1,1
2021/11/14 10:16:22 AM GMT+2,2,18,Female,2,1,3,4,3,1,5,2,3,5,5,2,5,5,1,1,5,5,1,5,1,1
2021/11/14 10:19:45 AM GMT+2,3,17,Female,4,2,2,4,4,2,4,2,4,4,4,1,4,4,2,2,4,4,2,4,2,2
2021/11/14 10:55:46 AM GMT+2,5,18,Female,5,1,3,4,3,1,4,2,3,5,5,2,5,5,1,1,5,5,1,5,1,1
2021/11/14 11:00:34 AM GMT+2,6,17,Female,4,1,1,4,4,1,5,1,2,4,4,1,4,4,2,2,5,5,2,4,2,2
2021/11/14 11:04:12 AM GMT+2,8,19,Female,5,1,1,1,5,1,5,1,5,5,5,5,5,5,1,1,5,5,1,5,1,5
2021/11/14 11:08:49 AM GMT+2,11,17,Female,4,2,1,5,4,1,2,1,1,5,5,5,4,5,1,1,5,5,1,5,1,5
2021/11/14 11:11:02 AM GMT+2,9,18,Female,5,1,4,5,4,1,5,1,1,5,5,4,5,5,1,1,5,1,1,5,1,5
2021/11/14 11:16:24 AM GMT+2,12,17,Female,5,1,1,4,4,4,4,1,2,5,5,4,5,4,1,1,5,5,1,3,1,5
2021/11/14 11:19:16 AM GMT+2,13,17,Female,5,4,2,2,4,2,5,2,2,5,5,4,5,4,1,2,5,5,2,4,2,2
2021/11/14 11:22:06 AM GMT+2,14,18,Female,5,1,2,1,3,1,4,2,5,4,5,5,2,2,1,1,5,5,1,5,1,1
2021/11/14 11:24:00 AM GMT+2,15,18,Female,5,1,1,5,5,1,5,1,5,5,5,5,4,5,1,1,5,5,1,5,1,1
2021/11/14 11:26:13 AM GMT+2,16,17,Female,5,1,1,5,5,2,5,1,1,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/11/14 11:28:16 AM GMT+2,17,19,Female,5,1,1,1,5,1,5,1,5,5,5,5,5,5,1,1,5,5,1,5,1,1
2021/11/14 11:31:03 AM GMT+2,18,16,Female,5,1,1,4,4,2,5,1,4,5,5,2,5,4,1,1,5,4,1,5,1,5
2021/11/14 11:34:01 AM GMT+2,20,18,Female,5,2,2,4,5,1,5,1,3,5,4,2,4,4,1,1,5,5,1,5,2,2
2021/11/14 11:36:25 AM GMT+2,19,16,Female,5,1,1,2,4,1,5,1,2,5,5,1,5,5,1,1,4,4,2,4,1,1
2021/11/14 11:38:13 AM GMT+2,21,17,Female,1,1,5,1,5,1,5,1,5,5,5,5,5,5,1,1,5,4,1,5,2,1
2021/11/14 11:40:01 AM GMT+2,22,17,Female,5,1,1,5,4,1,4,1,4,5,5,4,5,4,1,1,5,5,1,5,1,1
2021/11/14 11:41:55 AM GMT+2,23,17,Female,5,2,1,5,5,1,5,1,5,5,5,5,5,5,1,1,5,5,1,5,1,1
