Timestamp,id,Sex,Age in years,1. I am engaged with the topic at hand,2. I put in a lot of effort understanding the topic. ,3. I wish I could still continue for a while,4. I am so involved that I forget everything around me
2021/12/13 6:50:36 PM GMT+2,19,Female,18,4,4,4,5
2021/12/13 6:33:45 PM GMT+2,1,Female,16,4,2,4,2
2021/12/13 7:23:27 PM GMT+2,30,Female,18,4,4,4,5
2021/12/13 6:34:21 PM GMT+2,2,Female,17,5,5,5,3
2021/12/13 6:36:18 PM GMT+2,5,Female,17,5,5,5,5
2021/12/13 7:24:37 PM GMT+2,32,Female,18,4,5,5,4
2021/12/13 6:37:05 PM GMT+2,6,Female,17,4,4,4,5
2021/12/13 6:35:18 PM GMT+2,3,Male,18,5,3,5,4
2021/12/13 6:43:17 PM GMT+2,8,Female,17,3,5,3,4
2021/12/13 7:30:07 PM GMT+2,39,Female,18,4,4,5,5
2021/12/13 6:44:05 PM GMT+2,9,Female,17,4,4,2,3
2021/12/13 6:45:14 PM GMT+2,11,Female,17,5,5,4,2
2021/12/13 6:49:26 PM GMT+2,18,Male,18,4,4,5,1
2021/12/13 7:19:43 PM GMT+2,25,Male,18,5,5,5,5
2021/12/13 7:25:20 PM GMT+2,33,Female,19,2,4,4,3
2021/12/13 6:46:29 PM GMT+2,13,Female,17,4,3,4,3
2021/12/13 7:17:31 PM GMT+2,21,Male,17,4,2,5,2
2021/12/13 7:29:26 PM GMT+2,38,Male,18,4,2,5,2
2021/12/13 7:28:49 PM GMT+2,37,Male,18,4,4,5,4
2021/12/13 7:19:02 PM GMT+2,24,Male,17,5,5,5,5
2021/12/13 7:32:43 PM GMT+2,43,Male,16,4,2,4,4
2021/12/13 6:48:07 PM GMT+2,15,Female,17,3,4,4,4
2021/12/13 6:48:34 PM GMT+2,16,Female,17,3,4,4,2
2021/12/13 6:51:03 PM GMT+2,20,Male,19,4,3,5,4
2021/12/13 6:49:02 PM GMT+2,17,Female,17,3,4,5,5
2021/12/13 7:20:24 PM GMT+2,26,Male,19,3,5,4,2
2021/12/13 7:17:57 PM GMT+2,22,Female,17,5,5,4,1
2021/12/13 7:21:40 PM GMT+2,27,Female,17,5,5,5,5
2021/12/13 6:37:44 PM GMT+2,7,Female,16,4,4,3,2
2021/12/13 7:26:43 PM GMT+2,35,Female,17,4,5,2,1
2021/12/13 7:22:28 PM GMT+2,28,Female,16,5,5,5,5
2021/12/13 7:18:29 PM GMT+2,23,Female,17,4,5,5,1
2021/12/13 6:47:39 PM GMT+2,14,Female,16,4,4,2,5
2021/12/13 7:22:54 PM GMT+2,29,Female,17,5,5,4,3
2021/12/13 6:46:02 PM GMT+2,12,Male,19,4,4,5,1
2021/12/13 6:35:53 PM GMT+2,4,Male,21,5,5,5,1
2021/12/13 7:25:43 PM GMT+2,34,Male,19,5,4,5,4
2021/12/13 7:24:02 PM GMT+2,31,Female,17,5,5,4,5
2021/12/13 7:33:56 PM GMT+2,45,Male,20,4,5,5,5
2021/12/13 6:44:37 PM GMT+2,10,Female,16,4,4,5,4
2021/12/13 7:28:20 PM GMT+2,36,Female,17,4,5,5,2
2021/12/13 7:30:56 PM GMT+2,40,Female,17,3,5,5,5
2021/12/13 7:32:14 PM GMT+2,42,Female,17,5,5,4,5
2021/12/13 7:34:37 PM GMT+2,46,Female,17,3,4,5,5
