Timestamp,id,Sex,Age in years,1. I am engaged with the topic at hand,2. I put in a lot of effort understanding the topic. ,3. I wish I could still continue for a while,4. I am so involved that I forget everything around me
2021/12/08 10:15:15 AM GMT+2,1,Female,18,4,5,2,3
2021/12/08 10:15:49 AM GMT+2,2,Female,17,3,4,2,5
2021/12/08 10:16:24 AM GMT+2,3,Female,18,3,5,5,5
2021/12/08 10:17:49 AM GMT+2,5,Female,17,2,4,4,5
2021/12/08 10:18:31 AM GMT+2,6,Female,17,2,4,4,5
2021/12/08 10:19:01 AM GMT+2,7,Female,18,3,5,5,2
2021/12/08 10:19:35 AM GMT+2,8,Female,18,2,3,3,3
2021/12/08 10:20:07 AM GMT+2,9,Female,17,3,3,3,2
2021/12/08 10:20:42 AM GMT+2,10,Female,17,3,3,5,2
2021/12/08 10:21:11 AM GMT+2,11,Female,15,5,4,4,2
2021/12/08 10:21:45 AM GMT+2,12,Female,18,4,5,4,2
2021/12/08 10:22:22 AM GMT+2,13,Female,18,4,5,4,2
2021/12/08 10:22:56 AM GMT+2,14,Female,18,5,4,5,2
2021/12/08 10:23:35 AM GMT+2,15,Female,17,4,4,3,3
2021/12/08 10:24:11 AM GMT+2,16,Female,15,4,4,5,2
2021/12/08 10:27:07 AM GMT+2,17,Female,18,4,4,5,2
2021/12/08 10:27:57 AM GMT+2,18,Female,17,3,5,4,3
2021/12/08 10:28:32 AM GMT+2,19,Female,16,4,5,5,4
2021/12/08 10:59:26 AM GMT+2,20,Female,17,3,5,4,3
2021/12/08 11:00:01 AM GMT+2,21,Female,17,3,5,5,5
2021/12/08 11:00:33 AM GMT+2,22,Female,17,3,4,5,3
2021/12/08 11:01:10 AM GMT+2,23,Female,17,2,4,5,4
2021/12/08 11:02:00 AM GMT+2,24,Female,17,3,5,4,2
2021/12/08 11:02:40 AM GMT+2,25,Female,17,3,3,5,4
2021/12/08 11:03:21 AM GMT+2,26,Female,18,4,5,4,5
2021/12/08 11:03:52 AM GMT+2,27,Female,18,4,5,5,3
2021/12/08 11:04:39 AM GMT+2,28,Female,18,4,5,5,5
2021/12/08 11:17:44 AM GMT+2,29,Female,17,3,5,2,2
2021/12/08 11:18:29 AM GMT+2,30,Female,17,3,5,5,2
2021/12/08 11:19:09 AM GMT+2,31,Female,16,4,4,5,4
2021/12/08 11:19:40 AM GMT+2,32,Female,17,4,4,5,4
2021/12/08 11:20:06 AM GMT+2,33,Female,17,4,5,4,2
2021/12/08 11:20:40 AM GMT+2,34,Female,17,4,5,4,2
2021/12/08 11:21:16 AM GMT+2,35,Female,17,4,3,4,4
2021/12/08 11:21:48 AM GMT+2,36,Female,17,3,5,4,2
2021/12/08 11:27:05 AM GMT+2,37,Female,18,4,5,4,2
2021/12/08 11:27:46 AM GMT+2,38,Female,18,3,4,4,1
2021/12/08 11:28:25 AM GMT+2,39,Female,18,4,4,5,1
2021/12/08 11:29:02 AM GMT+2,40,Female,17,3,4,4,2
2021/12/08 11:38:26 AM GMT+2,4,Female,19,3,5,5,2
