Timestamp,Sex,Age in years,1. I am engaged with the topic at hand,2. I put in a lot of effort understanding the topic. ,3. I wish I could still continue for a while,4. I am so involved that I forget everything around me,id,NAME,
2021/11/03 5:43:25 PM GMT+2,Female,18,5,2,5,4,1,IM,4
2021/11/03 5:44:30 PM GMT+2,Female,16,5,4,5,3,2,FK,4.25
2021/11/03 5:45:02 PM GMT+2,Female,18,3,5,3,4,3,UN,3.75
2021/11/03 5:45:28 PM GMT+2,Female,17,5,2,5,4,4,DN,4
2021/11/03 5:45:52 PM GMT+2,Female,17,5,4,5,4,5,AN,4.5
2021/11/03 5:46:21 PM GMT+2,Female,18,5,2,5,5,6,JN,4.25
2021/11/03 5:47:10 PM GMT+2,Female,17,5,4,5,3,7,NA,4.25
2021/11/03 5:48:07 PM GMT+2,Female,19,5,1,2,5,8,TN,3.25
2021/11/03 5:48:43 PM GMT+2,Female,17,5,3,5,2,9,IJ,3.75
2021/11/03 5:49:45 PM GMT+2,Female,18,4,4,4,5,10,DN,4.25
2021/11/03 5:50:13 PM GMT+2,Female,17,4,4,5,3,11,NT,4
2021/11/03 5:50:50 PM GMT+2,Female,17,4,3,5,4,12,YN,4
2021/11/03 5:51:13 PM GMT+2,Male,18,4,4,4,4,13,UK,4
2021/11/03 5:51:42 PM GMT+2,Male,18,4,3,4,1,14,NY,3
2021/11/03 5:52:05 PM GMT+2,Female,20,5,5,5,3,15,LN,4.5
2021/11/03 5:52:27 PM GMT+2,Female,17,4,5,5,1,16,AA,3.75
2021/11/03 5:52:52 PM GMT+2,Male,17,5,5,5,4,17,JJ,4.75
2021/11/03 5:53:21 PM GMT+2,Male,18,5,2,5,5,18,JM,4.25
2021/11/03 5:53:46 PM GMT+2,Male,18,4,4,4,5,19,HE,4.25
2021/11/03 5:54:23 PM GMT+2,Male,17,5,4,4,1,20,KB,3.5
2021/11/03 5:54:57 PM GMT+2,Male,16,5,1,5,1,21,IS,3
2021/11/03 5:55:23 PM GMT+2,Female,17,5,5,5,1,22,NA,4
2021/11/03 5:55:50 PM GMT+2,Female,17,4,2,3,3,23,KA,3
2021/11/03 5:56:15 PM GMT+2,Male,19,5,1,5,3,24,NS,3.5
2021/11/03 5:56:43 PM GMT+2,Female,17,5,5,5,5,25,US,5
2021/11/03 5:57:05 PM GMT+2,Male,19,5,5,5,5,26,KO,5
2021/11/03 5:57:33 PM GMT+2,Female,17,5,5,4,1,27,NN,3.75
2021/11/03 5:57:58 PM GMT+2,Female,17,5,5,5,4,28,JD,4.75
2021/11/03 5:58:52 PM GMT+2,Female,16,2,4,5,1,29,IJ,3
2021/11/03 5:59:21 PM GMT+2,Male,17,5,5,5,5,30,MN,5
2021/11/03 5:59:54 PM GMT+2,Female,16,4,4,5,4,31,NN,4.25
2021/11/03 6:00:15 PM GMT+2,Female,17,4,4,5,4,32,YN,4.25
2021/11/03 6:00:40 PM GMT+2,Female,17,4,2,5,4,33,DN,3.75
2021/11/03 6:01:10 PM GMT+2,Male,18,4,5,4,4,34,BS,4.25
2021/11/03 6:01:34 PM GMT+2,Male,18,5,5,5,4,35,HN,4.75
2021/11/03 6:02:02 PM GMT+2,Male,21,5,2,5,5,36,ID,4.25
2021/11/03 6:02:49 PM GMT+2,Male,16,1,3,5,1,37,MS,2.5
2021/11/03 6:03:54 PM GMT+2,Female,17,2,5,4,4,38,KN,3.75
2021/11/03 6:04:15 PM GMT+2,Male,17,4,4,4,4,39,IN,4
2021/11/03 6:04:42 PM GMT+2,Male,18,5,2,4,4,40,GJ,3.75
2021/11/03 6:05:07 PM GMT+2,Male,20,5,5,5,5,41,IK,5
2021/11/03 5:47:32 PM GMT+2,Female,17,5,5,5,5,47,AC,5
2021/11/03 6:06:00 PM GMT+2,Male,21,5,2,5,5,43,ME,4.25
2021/11/03 6:07:54 PM GMT+2,Female,17,4,4,5,3,44,MJ,4
