Timestamp,Sex,Age in years,1. I am engaged with the topic at hand,2. I put in a lot of effort understanding the topic. ,3. I wish I could still continue for a while,4. I am so involved that I forget everything around me,,,NAME
2021/11/03 4:57:04 PM GMT+2,Female,18,5,5,3,1,,3.5,IM
2021/11/03 5:04:17 PM GMT+2,Female,16,4,5,4,4,,4.25,FK
2021/11/03 5:09:02 PM GMT+2,Female,18,3,4,3,3,,3.25,UN
2021/11/03 4:40:09 PM GMT+2,Female,17,5,5,5,4,,4.75,DN
2021/11/03 4:36:37 PM GMT+2,Female,17,4,4,5,1,,3.5,AN
2021/11/03 4:50:06 PM GMT+2,Female,18,3,4,3,2,,3,JN
2021/11/03 4:42:29 PM GMT+2,Female,17,5,4,5,1,,3.75,NA
2021/11/03 5:12:27 PM GMT+2,Female,19,5,1,4,5,,3.75,TN
2021/11/03 4:49:31 PM GMT+2,Female,17,4,5,5,2,,4,IJ
2021/11/03 4:57:53 PM GMT+2,Female,18,5,5,4,1,,3.75,DN
2021/11/03 4:50:46 PM GMT+2,Female,17,3,4,2,1,,2.5,NT
2021/11/03 4:52:24 PM GMT+2,Female,17,5,3,5,2,,3.75,YN
2021/11/03 4:35:13 PM GMT+2,Male,18,4,2,4,2,,3,UK
2021/11/03 4:52:57 PM GMT+2,Male,18,5,2,5,5,,4.25,NY
2021/11/03 4:37:48 PM GMT+2,Male,19,5,4,5,1,,3.75,LN
2021/11/03 5:08:24 PM GMT+2,Female,20,5,5,4,2,,4,AA
2021/11/03 4:41:20 PM GMT+2,Male,17,4,4,4,4,,4,JJ
2021/11/03 4:53:48 PM GMT+2,Male,18,5,5,4,1,,3.75,JM
2021/11/03 5:11:55 PM GMT+2,Male,18,5,1,5,1,,3,HE
2021/11/03 4:41:55 PM GMT+2,Male,17,5,2,5,1,,3.25,KB
2021/11/03 5:10:25 PM GMT+2,Male,16,5,2,5,2,,3.5,IS
2021/11/03 4:56:18 PM GMT+2,Female,17,5,5,5,2,,4.25,NA
2021/11/03 4:59:06 PM GMT+2,Female,17,5,2,5,2,,3.5,KA
2021/11/03 5:01:20 PM GMT+2,Male,19,5,4,5,1,,3.75,NS
2021/11/03 4:59:44 PM GMT+2,Female,17,4,2,3,2,,2.75,US
2021/11/03 5:07:59 PM GMT+2,Male,19,4,2,1,3,,2.5,KO
2021/11/03 5:00:18 PM GMT+2,Female,17,3,3,5,3,,3.5,NN
2021/11/03 5:00:49 PM GMT+2,Female,17,4,3,4,2,,3.25,JD
2021/11/03 5:05:43 PM GMT+2,Female,16,4,4,4,4,,4,IJ
2021/11/03 4:51:12 PM GMT+2,Male,17,5,5,1,1,,3,MN
2021/11/03 5:11:28 PM GMT+2,Female,16,4,2,5,1,,3,NN
2021/11/03 5:02:37 PM GMT+2,Female,17,4,2,4,2,,3,YN
2021/11/03 5:03:13 PM GMT+2,Female,17,4,4,4,5,,4.25,DN
2021/11/03 4:51:51 PM GMT+2,Male,17,5,3,5,2,,3.75,BS
2021/11/03 5:13:56 PM GMT+2,Male,20,4,2,5,1,,3,HN
2021/11/03 4:40:47 PM GMT+2,Male,21,5,2,5,3,,3.75,ID
2021/11/03 5:07:32 PM GMT+2,Male,15,5,5,4,3,,4.25,MS
2021/11/03 5:06:11 PM GMT+2,Female,17,5,3,5,5,,4.5,KN
2021/11/03 5:01:52 PM GMT+2,Male,22,5,4,5,1,,3.75,IN
2021/11/03 5:03:45 PM GMT+2,Female,18,4,4,5,5,,4.5,GJ
2021/11/03 5:09:58 PM GMT+2,Male,21,5,4,4,2,,3.75,IK
2021/11/03 5:04:50 PM GMT+2,Male,17,4,2,4,3,,3.25,AC
2021/11/03 5:05:17 PM GMT+2,Female,18,4,2,4,3,,3.25,ME
2021/11/03 5:06:34 PM GMT+2,Female,17,4,5,5,5,,4.75,MJ
