"Timestamp","id","Sex","Age in years","1. I am engaged with the topic at hand","2. I put in a lot of effort understanding the topic. ","3. I wish I could still continue for a while","4. I am so involved that I forget everything around me"
"2021/12/08 10:21:57 PM GMT+2","1","Female","20","4","4","2","5"
"2021/12/08 10:22:56 PM GMT+2","2","Female","20","1","1","4","4"
"2021/12/08 10:23:49 PM GMT+2","3","Female","18","4","4","2","5"
"2021/12/08 10:24:24 PM GMT+2","4","Female","189","4","4","2","5"
"2021/12/08 10:25:10 PM GMT+2","5","Female","17","1","5","1","1"
"2021/12/08 10:26:25 PM GMT+2","6","Female","17","2","4","4","4"
"2021/12/08 10:27:21 PM GMT+2","7","Female","17","2","4","4","4"
"2021/12/08 10:28:15 PM GMT+2","8","Female","17","4","5","5","1"
"2021/12/08 10:29:07 PM GMT+2","9","Female","18","5","3","3","2"
"2021/12/08 10:29:40 PM GMT+2","10","Female","17","4","5","5","4"
"2021/12/08 10:30:39 PM GMT+2","12","Female","18","3","4","4","1"
"2021/12/08 10:31:12 PM GMT+2","13","Female","17","4","2","4","4"
"2021/12/08 10:32:07 PM GMT+2","14","Female","17","4","2","4","4"
"2021/12/08 10:33:12 PM GMT+2","15","Female","17","3","4","4","4"
"2021/12/08 10:33:59 PM GMT+2","16","Female","17","3","4","5","2"
"2021/12/08 10:35:42 PM GMT+2"," 17","Female","17","4","5","5","4"
"2021/12/08 10:36:20 PM GMT+2","18","Female","17","3","3","3","3"
"2021/12/08 10:37:17 PM GMT+2","19","Female","18","4","5","5","4"
"2021/12/08 10:38:07 PM GMT+2","20","Female","16","3","4","4","4"
"2021/12/08 10:38:44 PM GMT+2","21","Female","16","5","5","4","4"
"2021/12/08 10:39:30 PM GMT+2","22","Female","17","4","4","5","4"
"2021/12/08 10:40:01 PM GMT+2","23","Female","19","4","5","5","4"
"2021/12/08 10:40:32 PM GMT+2","24","Female","16","5","5","5","5"
"2021/12/08 10:41:19 PM GMT+2","25","Female","17","3","4","3","3"
"2021/12/08 10:42:11 PM GMT+2","26","Female","19","1","3","2","2"
"2021/12/08 10:43:16 PM GMT+2","27","Female","18","3","3","3","3"
"2021/12/08 10:44:03 PM GMT+2","28","Female","17","3","5","4","2"
"2021/12/08 10:44:51 PM GMT+2","29","Female","17","3","5","4","3"
"2021/12/08 10:45:31 PM GMT+2","30","Female","18","1","5","1","1"
"2021/12/08 10:46:08 PM GMT+2","31","Female","18","2","5","4","2"
"2021/12/08 10:47:24 PM GMT+2","32","Female","17","2","4","4","2"
"2021/12/08 10:47:53 PM GMT+2","33","Female","18","2","5","4","3"
"2021/12/08 10:48:29 PM GMT+2","34","Female","18","4","4","4","1"
"2021/12/08 10:49:00 PM GMT+2","35","Female","17","3","4","4","4"
"2021/12/08 10:49:33 PM GMT+2","36","Female","18","5","4","3","3"
"2021/12/08 10:55:38 PM GMT+2","11","Female","17","4","4","4","1"
