"Timestamp","id","Sex","Age in years","1. I am engaged with the topic at hand","2. I put in a lot of effort understanding the topic. ","3. I wish I could still continue for a while","4. I am so involved that I forget everything around me"
"2021/11/21 11:25:08 AM GMT+2","1","Male","18","4","4","4","4"
"2021/11/21 11:26:06 AM GMT+2","2","Male","18","4","2","5","4"
"2021/11/21 11:27:04 AM GMT+2","3","Male","16","4","4","4","5"
"2021/11/21 11:27:44 AM GMT+2","4","Male","18","5","2","5","5"
"2021/11/21 11:28:17 AM GMT+2","5","Male","17","5","5","5","5"
"2021/11/21 11:28:47 AM GMT+2","6","Female","16","5","5","4","5"
"2021/11/21 11:29:19 AM GMT+2","7","Male","21","5","5","5","5"
"2021/11/21 11:30:49 AM GMT+2","8","Female","17","5","5","3","5"
"2021/11/21 11:31:29 AM GMT+2","9","Female","19","5","5","3","5"
"2021/11/21 11:33:27 AM GMT+2","10","Male","20","5","5","4","5"
"2021/11/21 11:34:58 AM GMT+2","11","Male","16","5","5","5","5"
"2021/11/21 11:35:26 AM GMT+2","12","Male","19","5","5","4","5"
"2021/11/21 11:36:06 AM GMT+2","13","Female","16","5","5","5","5"
"2021/11/21 11:36:50 AM GMT+2","14","Male","15","4","4","4","3"
"2021/11/21 11:37:30 AM GMT+2","15","Male","17","5","5","5","2"
"2021/11/21 11:38:41 AM GMT+2","16","Male","20","4","4","4","2"
"2021/11/21 11:41:11 AM GMT+2","17","Male","24","3","4","3","2"
"2021/11/21 11:41:52 AM GMT+2","18","Male","18","4","4","4","3"
"2021/11/21 11:42:22 AM GMT+2","19","Male","17","5","5","5","2"
"2021/11/21 11:43:18 AM GMT+2","22","Female","17","4","4","4","5"
"2021/11/21 11:43:56 AM GMT+2","23","Male","27","4","4","4","3"
"2021/11/21 11:44:42 AM GMT+2","24","Male","18","5","5","5","5"
"2021/11/21 11:45:24 AM GMT+2","25","Male","19","5","5","5","5"
"2021/11/21 11:46:11 AM GMT+2","26","Male","18","5","4","1","4"
"2021/11/21 11:46:37 AM GMT+2","27","Female","17","4","5","5","4"
"2021/11/21 11:47:25 AM GMT+2","28","Female","19","4","4","5","4"
"2021/11/21 11:47:55 AM GMT+2","29","Male","20","4","4","5","4"
"2021/11/21 11:48:23 AM GMT+2","30","Male","16","5","2","5","5"
"2021/11/21 11:48:52 AM GMT+2","31","Male","16","5","5","5","5"
"2021/11/21 11:49:23 AM GMT+2","32","Male","19","5","5","3","5"
"2021/11/21 11:49:55 AM GMT+2","33","Male","16","4","5","5","2"
"2021/11/21 11:50:19 AM GMT+2","34","Male","19","5","5","5","5"
"2021/11/21 11:50:58 AM GMT+2","35","Male","18","5","4","4","4"
"2021/11/21 11:51:35 AM GMT+2","36","Female","17","4","5","4","1"
"2021/11/21 11:52:17 AM GMT+2","37","Male","20","3","2","5","3"
